semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
919859	-1	6	320	32	48680000
137437	-1	6	320	32	46860000
922123	-1	6	320	32	53570000
502057	-1	6	320	32	43250000
324991	-1	6	320	32	46900000
289603	-1	6	320	32	49840000
313381	-1	6	320	32	48400000
529049	-1	6	320	32	47770000
237287	-1	6	320	32	47340000
619819	-1	6	320	32	48260000
911269	-1	6	320	32	45300000
536189	-1	6	320	32	48230000
490927	-1	6	320	32	45090000
276371	-1	6	320	32	51820000
121321	-1	6	320	32	45360000
868157	-1	6	320	32	47960000
739201	-1	6	320	32	54390000
340393	-1	6	320	32	51130000
967831	-1	6	320	32	52370000
171329	-1	6	320	32	48930000
919859	-1	6	320	48	46630000
137437	-1	6	320	48	47130000
922123	-1	6	320	48	53660000
502057	-1	6	320	48	42970000
324991	-1	6	320	48	43910000
289603	-1	6	320	48	49500000
313381	-1	6	320	48	48830000
529049	-1	6	320	48	47920000
237287	-1	6	320	48	46700000
619819	-1	6	320	48	47840000
911269	-1	6	320	48	45110000
536189	-1	6	320	48	48440000
490927	-1	6	320	48	46440000
276371	-1	6	320	48	52970000
121321	-1	6	320	48	45280000
868157	-1	6	320	48	48970000
739201	-1	6	320	48	54150000
340393	-1	6	320	48	50140000
967831	-1	6	320	48	51530000
171329	-1	6	320	48	48640000
919859	-1	6	320	64	46530000
137437	-1	6	320	64	45840000
922123	-1	6	320	64	53660000
502057	-1	6	320	64	46370000
324991	-1	6	320	64	44380000
289603	-1	6	320	64	51410000
313381	-1	6	320	64	48210000
529049	-1	6	320	64	49590000
237287	-1	6	320	64	46340000
619819	-1	6	320	64	51110000
911269	-1	6	320	64	45420000
536189	-1	6	320	64	48310000
490927	-1	6	320	64	45040000
276371	-1	6	320	64	54810000
121321	-1	6	320	64	46150000
868157	-1	6	320	64	49590000
739201	-1	6	320	64	55150000
340393	-1	6	320	64	50060000
967831	-1	6	320	64	56520000
171329	-1	6	320	64	48640000
919859	-1	6	320	80	45850000
137437	-1	6	320	80	44440000
922123	-1	6	320	80	54210000
502057	-1	6	320	80	45030000
324991	-1	6	320	80	44770000
289603	-1	6	320	80	51790000
313381	-1	6	320	80	46400000
529049	-1	6	320	80	50500000
237287	-1	6	320	80	46420000
619819	-1	6	320	80	51010000
911269	-1	6	320	80	46320000
536189	-1	6	320	80	4.8e+07
490927	-1	6	320	80	43590000
276371	-1	6	320	80	55490000
121321	-1	6	320	80	46150000
868157	-1	6	320	80	50430000
739201	-1	6	320	80	55180000
340393	-1	6	320	80	49520000
967831	-1	6	320	80	56810000
171329	-1	6	320	80	48640000
919859	-0.8	6	320	32	48680000
137437	-0.8	6	320	32	46860000
922123	-0.8	6	320	32	53570000
502057	-0.8	6	320	32	43250000
324991	-0.8	6	320	32	46900000
289603	-0.8	6	320	32	49840000
313381	-0.8	6	320	32	48400000
529049	-0.8	6	320	32	47770000
237287	-0.8	6	320	32	47340000
619819	-0.8	6	320	32	48260000
911269	-0.8	6	320	32	45300000
536189	-0.8	6	320	32	48230000
490927	-0.8	6	320	32	45090000
276371	-0.8	6	320	32	51820000
121321	-0.8	6	320	32	45360000
868157	-0.8	6	320	32	47960000
739201	-0.8	6	320	32	54390000
340393	-0.8	6	320	32	51130000
967831	-0.8	6	320	32	52370000
171329	-0.8	6	320	32	48930000
919859	-0.8	6	320	48	46630000
137437	-0.8	6	320	48	47130000
922123	-0.8	6	320	48	53660000
502057	-0.8	6	320	48	42970000
324991	-0.8	6	320	48	43910000
289603	-0.8	6	320	48	49500000
313381	-0.8	6	320	48	48830000
529049	-0.8	6	320	48	47920000
237287	-0.8	6	320	48	46700000
619819	-0.8	6	320	48	47840000
911269	-0.8	6	320	48	45110000
536189	-0.8	6	320	48	48440000
490927	-0.8	6	320	48	46440000
276371	-0.8	6	320	48	52970000
121321	-0.8	6	320	48	45280000
868157	-0.8	6	320	48	48970000
739201	-0.8	6	320	48	54150000
340393	-0.8	6	320	48	50140000
967831	-0.8	6	320	48	51530000
171329	-0.8	6	320	48	48640000
919859	-0.8	6	320	64	46530000
137437	-0.8	6	320	64	45840000
922123	-0.8	6	320	64	53660000
502057	-0.8	6	320	64	46370000
324991	-0.8	6	320	64	44380000
289603	-0.8	6	320	64	51410000
313381	-0.8	6	320	64	48210000
529049	-0.8	6	320	64	49590000
237287	-0.8	6	320	64	46340000
619819	-0.8	6	320	64	51110000
911269	-0.8	6	320	64	45420000
536189	-0.8	6	320	64	48310000
490927	-0.8	6	320	64	45040000
276371	-0.8	6	320	64	54810000
121321	-0.8	6	320	64	46150000
868157	-0.8	6	320	64	49590000
739201	-0.8	6	320	64	55150000
340393	-0.8	6	320	64	50060000
967831	-0.8	6	320	64	56520000
171329	-0.8	6	320	64	48640000
919859	-0.8	6	320	80	45850000
137437	-0.8	6	320	80	44440000
922123	-0.8	6	320	80	54210000
502057	-0.8	6	320	80	45030000
324991	-0.8	6	320	80	44770000
289603	-0.8	6	320	80	51790000
313381	-0.8	6	320	80	46400000
529049	-0.8	6	320	80	50500000
237287	-0.8	6	320	80	46420000
619819	-0.8	6	320	80	51010000
911269	-0.8	6	320	80	46320000
536189	-0.8	6	320	80	4.8e+07
490927	-0.8	6	320	80	43590000
276371	-0.8	6	320	80	55490000
121321	-0.8	6	320	80	46150000
868157	-0.8	6	320	80	50430000
739201	-0.8	6	320	80	55180000
340393	-0.8	6	320	80	49520000
967831	-0.8	6	320	80	56810000
171329	-0.8	6	320	80	48640000
919859	-0.6	6	320	32	48680000
137437	-0.6	6	320	32	46860000
922123	-0.6	6	320	32	53570000
502057	-0.6	6	320	32	43250000
324991	-0.6	6	320	32	46900000
289603	-0.6	6	320	32	49840000
313381	-0.6	6	320	32	48400000
529049	-0.6	6	320	32	47770000
237287	-0.6	6	320	32	47340000
619819	-0.6	6	320	32	48260000
911269	-0.6	6	320	32	45300000
536189	-0.6	6	320	32	48230000
490927	-0.6	6	320	32	45090000
276371	-0.6	6	320	32	51820000
121321	-0.6	6	320	32	45360000
868157	-0.6	6	320	32	47960000
739201	-0.6	6	320	32	54390000
340393	-0.6	6	320	32	51130000
967831	-0.6	6	320	32	52370000
171329	-0.6	6	320	32	48930000
919859	-0.6	6	320	48	46630000
137437	-0.6	6	320	48	47130000
922123	-0.6	6	320	48	53660000
502057	-0.6	6	320	48	42970000
324991	-0.6	6	320	48	43910000
289603	-0.6	6	320	48	49500000
313381	-0.6	6	320	48	48830000
529049	-0.6	6	320	48	47920000
237287	-0.6	6	320	48	46700000
619819	-0.6	6	320	48	47840000
911269	-0.6	6	320	48	45110000
536189	-0.6	6	320	48	48440000
490927	-0.6	6	320	48	46440000
276371	-0.6	6	320	48	52970000
121321	-0.6	6	320	48	45280000
868157	-0.6	6	320	48	48970000
739201	-0.6	6	320	48	54150000
340393	-0.6	6	320	48	50140000
967831	-0.6	6	320	48	51530000
171329	-0.6	6	320	48	48640000
919859	-0.6	6	320	64	46530000
137437	-0.6	6	320	64	45840000
922123	-0.6	6	320	64	53660000
502057	-0.6	6	320	64	46370000
324991	-0.6	6	320	64	44380000
289603	-0.6	6	320	64	51410000
313381	-0.6	6	320	64	48210000
529049	-0.6	6	320	64	49590000
237287	-0.6	6	320	64	46340000
619819	-0.6	6	320	64	51110000
911269	-0.6	6	320	64	45420000
536189	-0.6	6	320	64	48310000
490927	-0.6	6	320	64	45040000
276371	-0.6	6	320	64	54810000
121321	-0.6	6	320	64	46150000
868157	-0.6	6	320	64	49590000
739201	-0.6	6	320	64	55150000
340393	-0.6	6	320	64	50060000
967831	-0.6	6	320	64	56520000
171329	-0.6	6	320	64	48640000
919859	-0.6	6	320	80	45850000
137437	-0.6	6	320	80	44440000
922123	-0.6	6	320	80	54210000
502057	-0.6	6	320	80	45030000
324991	-0.6	6	320	80	44770000
289603	-0.6	6	320	80	51790000
313381	-0.6	6	320	80	46400000
529049	-0.6	6	320	80	50500000
237287	-0.6	6	320	80	46420000
619819	-0.6	6	320	80	51010000
911269	-0.6	6	320	80	46320000
536189	-0.6	6	320	80	4.8e+07
490927	-0.6	6	320	80	43590000
276371	-0.6	6	320	80	55490000
121321	-0.6	6	320	80	46150000
868157	-0.6	6	320	80	50430000
739201	-0.6	6	320	80	55180000
340393	-0.6	6	320	80	49520000
967831	-0.6	6	320	80	56810000
171329	-0.6	6	320	80	48640000
919859	-1	7	320	32	50960000
