cp	maxdepth	minsplit	minbucket	ganancia_mean	qty
-1	6	480	64	49273500	20
-0.8	6	480	64	49273500	20
-0.6	6	480	64	49273500	20
-1	6	800	64	49200500	20
-0.8	6	800	64	49200500	20
-0.6	6	800	64	49200500	20
-1	6	320	64	49156500	20
-0.8	6	320	64	49156500	20
-0.6	6	320	64	49156500	20
-1	6	480	80	49140000	20
-0.8	6	480	80	49140000	20
-0.6	6	480	80	49140000	20
-1	6	640	64	49124000	20
-0.8	6	640	64	49124000	20
-0.6	6	640	64	49124000	20
-1	7	800	64	49106000	20
-0.8	7	800	64	49106000	20
-0.6	7	800	64	49106000	20
-1	6	800	80	49070500	20
-0.8	6	800	80	49070500	20
-0.6	6	800	80	49070500	20
-1	7	640	64	49039000	20
-0.8	7	640	64	49039000	20
-0.6	7	640	64	49039000	20
-1	7	800	80	49035000	20
-0.8	7	800	80	49035000	20
-0.6	7	800	80	49035000	20
-1	6	320	80	49027500	20
-0.8	6	320	80	49027500	20
-0.6	6	320	80	49027500	20
-1	6	640	80	49021000	20
-0.8	6	640	80	49021000	20
-0.6	6	640	80	49021000	20
-1	7	640	80	49013000	20
-0.8	7	640	80	49013000	20
-0.6	7	640	80	49013000	20
-1	7	800	48	48937000	20
-0.8	7	800	48	48937000	20
-0.6	7	800	48	48937000	20
-1	7	480	80	48901000	20
-0.8	7	480	80	48901000	20
-0.6	7	480	80	48901000	20
-1	7	480	64	48877000	20
-0.8	7	480	64	48877000	20
-0.6	7	480	64	48877000	20
-1	7	640	48	48703500	20
-0.8	7	640	48	48703500	20
-0.6	7	640	48	48703500	20
-1	7	800	32	48692500	20
-0.8	7	800	32	48692500	20
-0.6	7	800	32	48692500	20
-1	8	800	64	48635500	20
-0.8	8	800	64	48635500	20
-0.6	8	800	64	48635500	20
-1	6	800	32	48599500	20
-0.8	6	800	32	48599500	20
-0.6	6	800	32	48599500	20
-1	6	640	32	48582500	20
-0.8	6	640	32	48582500	20
-0.6	6	640	32	48582500	20
-1	6	480	32	48575500	20
-0.8	6	480	32	48575500	20
-0.6	6	480	32	48575500	20
-1	6	320	32	48572500	20
-0.8	6	320	32	48572500	20
-0.6	6	320	32	48572500	20
-1	7	480	48	48544500	20
-0.8	7	480	48	48544500	20
-0.6	7	480	48	48544500	20
-1	8	640	64	48523000	20
-0.8	8	640	64	48523000	20
-0.6	8	640	64	48523000	20
-1	8	800	48	48521000	20
-0.8	8	800	48	48521000	20
-0.6	8	800	48	48521000	20
-1	7	320	80	48519000	20
-0.8	7	320	80	48519000	20
-0.6	7	320	80	48519000	20
-1	7	640	32	48516500	20
-0.8	7	640	32	48516500	20
-0.6	7	640	32	48516500	20
-1	8	800	32	48512500	20
-0.8	8	800	32	48512500	20
-0.6	8	800	32	48512500	20
-1	7	320	64	48496500	20
-0.8	7	320	64	48496500	20
-0.6	7	320	64	48496500	20
-1	7	320	48	48409500	20
-0.8	7	320	48	48409500	20
-0.6	7	320	48	48409500	20
-1	7	480	32	48376000	20
-0.8	7	480	32	48376000	20
-0.6	7	480	32	48376000	20
-1	6	480	48	48372500	20
-0.8	6	480	48	48372500	20
-0.6	6	480	48	48372500	20
-1	8	640	32	48339000	20
-0.8	8	640	32	48339000	20
-0.6	8	640	32	48339000	20
-1	6	320	48	48338000	20
-0.8	6	320	48	48338000	20
-0.6	6	320	48	48338000	20
-1	6	800	48	48311500	20
-0.8	6	800	48	48311500	20
-0.6	6	800	48	48311500	20
-1	8	480	64	48279000	20
-0.8	8	480	64	48279000	20
-0.6	8	480	64	48279000	20
-1	6	640	48	48245500	20
-0.8	6	640	48	48245500	20
-0.6	6	640	48	48245500	20
-1	8	640	48	48229000	20
-0.8	8	640	48	48229000	20
-0.6	8	640	48	48229000	20
-1	7	320	32	48223500	20
-0.8	7	320	32	48223500	20
-0.6	7	320	32	48223500	20
-1	8	480	32	48203500	20
-0.8	8	480	32	48203500	20
-0.6	8	480	32	48203500	20
-1	8	640	80	48107500	20
-0.8	8	640	80	48107500	20
-0.6	8	640	80	48107500	20
-1	8	480	48	48064000	20
-0.8	8	480	48	48064000	20
-0.6	8	480	48	48064000	20
-1	8	800	80	48059000	20
-0.8	8	800	80	48059000	20
-0.6	8	800	80	48059000	20
-1	8	320	64	48056000	20
-0.8	8	320	64	48056000	20
-0.6	8	320	64	48056000	20
-1	8	480	80	47989000	20
-0.8	8	480	80	47989000	20
-0.6	8	480	80	47989000	20
-1	8	320	48	47987500	20
-0.8	8	320	48	47987500	20
-0.6	8	320	48	47987500	20
-1	8	320	32	47975500	20
-0.8	8	320	32	47975500	20
-0.6	8	320	32	47975500	20
-1	8	320	80	47375500	20
-0.8	8	320	80	47375500	20
-0.6	8	320	80	47375500	20
